Match Number,Round Number,Date,Location,Home Team,Away Team,Result
41,5,13/09/2025 15:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kasimpasa,0 - 1
38,5,13/09/2025 18:00,Konya Metropolitan Municipality Stadium,Konyaspor,Alanyaspor,1 - 2
39,5,13/09/2025 18:00,Besiktas Stadyumu,Besiktas,Istanbul Basaksehir,2 - 1
45,5,14/09/2025 15:00,RHG Enertürk Enerji Stadium,Kayserispor,Göztepe,1 - 1
42,5,14/09/2025 18:00,Gaziantep Stadium,Gaziantep,Kocaelispor,2 - 0
43,5,14/09/2025 18:00,Ülker Stadium,Fenerbahçe,Trabzonspor,1 - 0
44,5,15/09/2025 18:00,Rize City Stadium,Çaykur Rizespor,Gençlerbirligi,1 - 0
51,6,19/09/2025 18:00,Gürsel Aksel Stadium,Göztepe,Besiktas,3 - 0
53,6,20/09/2025 15:00,Eryaman Stadium,Gençlerbirligi,Eyüpspor,1 - 0
47,6,20/09/2025 18:00,Antalya Stadium,Antalyaspor,Kayserispor,1 - 1
48,6,20/09/2025 18:00,Papara Park,Trabzonspor,Gaziantep,1 - 1
50,6,21/09/2025 15:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Alanyaspor,1 - 1
54,6,21/09/2025 15:00,Kocaeli Stadium,Kocaelispor,Çaykur Rizespor,1 - 1
46,6,21/09/2025 18:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Fenerbahçe,1 - 1
49,6,21/09/2025 18:00,Samsun 19 Mayis Stadium,Samsunspor,Fatih Karagümrük,3 - 2
52,6,22/09/2025 18:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Konyaspor,3 - 1
58,7,26/09/2025 18:00,Alanya Oba Stadium,Alanyaspor,Galatasaray,0 - 1
55,7,27/09/2025 15:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Göztepe,0 - 0
60,7,27/09/2025 15:00,Gaziantep Stadium,Gaziantep,Samsunspor,2 - 2
59,7,27/09/2025 18:00,Atatürk Olympic Stadium,Fatih Karagümrük,Trabzonspor,3 - 4
56,7,28/09/2025 15:00,Konya Metropolitan Municipality Stadium,Konyaspor,Istanbul Basaksehir,2 - 1
62,7,28/09/2025 15:00,Rize City Stadium,Çaykur Rizespor,Kasimpasa,1 - 2
61,7,28/09/2025 18:00,Ülker Stadium,Fenerbahçe,Antalyaspor,2 - 0
63,7,28/09/2025 18:00,RHG Enertürk Enerji Stadium,Kayserispor,Gençlerbirligi,1 - 1
57,7,29/09/2025 18:00,Besiktas Stadyumu,Besiktas,Kocaelispor,3 - 1
65,8,03/10/2025 18:00,Antalya Stadium,Antalyaspor,Çaykur Rizespor,2 - 5
66,8,03/10/2025 18:00,Papara Park,Trabzonspor,Kayserispor,4 - 0
71,8,04/10/2025 12:30,Eryaman Stadium,Gençlerbirligi,Alanyaspor,2 - 2
72,8,04/10/2025 15:00,Kocaeli Stadium,Kocaelispor,Eyüpspor,1 - 0
70,8,04/10/2025 18:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Besiktas,1 - 1
64,8,05/10/2025 12:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Konyaspor,1 - 1
68,8,05/10/2025 15:00,Atatürk Olympic Stadium,Fatih Karagümrük,Gaziantep,0 - 2
67,8,05/10/2025 18:00,Samsun 19 Mayis Stadium,Samsunspor,Fenerbahçe,0 - 0
69,8,05/10/2025 18:00,Gürsel Aksel Stadium,Göztepe,Istanbul Basaksehir,1 - 0
74,9,18/10/2025 12:30,Konya Metropolitan Municipality Stadium,Konyaspor,Kocaelispor,2 - 3
75,9,18/10/2025 15:00,Besiktas Stadyumu,Besiktas,Gençlerbirligi,1 - 2
